HOG,category,n_expressed_dups,hog_size_genome,hog_size_mapped,hog_size_expressed
N0.HOG0000433,Male + Unbiased,2,2,2,2
N0.HOG0000434,Female + Unbiased,7,7,7,7
N0.HOG0000435,Male + Unbiased,6,57,46,6
N0.HOG0000439,Male + Unbiased,6,6,6,6
N0.HOG0000442,All three,3,5,5,3
N0.HOG0000443,Male + Unbiased,2,2,2,2
N0.HOG0000444,All three,11,15,15,11
N0.HOG0000445,Female + Unbiased,3,3,3,3
N0.HOG0000448,All unbiased,3,9,6,3
N0.HOG0000449,All unbiased,2,2,2,2
N0.HOG0000450,Male + Unbiased,6,6,6,6
N0.HOG0000451,Male + Unbiased,4,11,8,4
N0.HOG0000452,All male-biased,2,2,2,2
N0.HOG0000453,Male + Unbiased,3,3,3,3
N0.HOG0000455,Female + Unbiased,16,42,35,16
N0.HOG0000456,All unbiased,2,14,12,2
N0.HOG0000457,All male-biased,10,11,10,10
N0.HOG0000458,All male-biased,4,11,11,4
N0.HOG0000459,All unbiased,2,2,2,2
N0.HOG0000460,All unbiased,3,3,3,3
N0.HOG0000463,All male-biased,5,9,8,5
N0.HOG0000465,Male + Unbiased,3,3,3,3
N0.HOG0000466,Male + Unbiased,9,46,41,9
N0.HOG0000468,Male + Unbiased,4,4,4,4
N0.HOG0000469,Female + Unbiased,12,15,15,12
N0.HOG0000471,Female + Unbiased,2,2,2,2
N0.HOG0000476,Female + Unbiased,2,3,3,2
N0.HOG0000477,Male + Unbiased,16,34,32,16
N0.HOG0000478,Male + Unbiased,12,24,22,12
N0.HOG0000482,Male + Unbiased,2,9,8,2
N0.HOG0000485,All unbiased,2,3,3,2
N0.HOG0000489,All male-biased,4,4,4,4
N0.HOG0000492,Female + Unbiased,3,3,3,3
N0.HOG0000499,Male + Unbiased,2,4,4,2
N0.HOG0000500,Male + Unbiased,5,24,21,5
N0.HOG0000501,Female + Unbiased,3,3,3,3
N0.HOG0000502,Male + Unbiased,5,9,6,5
N0.HOG0000503,All three,6,7,6,6
N0.HOG0000505,All unbiased,6,6,6,6
N0.HOG0000506,Male + Unbiased,3,3,3,3
N0.HOG0000510,Male + Unbiased,7,21,18,7
N0.HOG0000512,Male + Unbiased,2,2,2,2
N0.HOG0000513,Male + Unbiased,4,5,5,4
N0.HOG0000514,Male + Unbiased,3,3,3,3
N0.HOG0000516,Female + Unbiased,4,4,4,4
N0.HOG0000517,Male + Unbiased,4,4,4,4
N0.HOG0000518,All three,6,6,6,6
N0.HOG0000525,All male-biased,3,5,3,3
N0.HOG0000526,All male-biased,4,4,4,4
N0.HOG0000529,Male + Female,2,2,2,2
N0.HOG0000530,Male + Unbiased,4,20,13,4
N0.HOG0000531,All three,8,8,8,8
N0.HOG0000535,All unbiased,2,36,7,2
N0.HOG0000538,All unbiased,2,2,2,2
N0.HOG0000541,All male-biased,4,4,4,4
N0.HOG0000542,All unbiased,3,14,14,3
N0.HOG0000543,All male-biased,5,5,5,5
N0.HOG0000544,Male + Unbiased,2,6,5,2
N0.HOG0000546,Male + Unbiased,7,22,19,7
N0.HOG0000547,Male + Unbiased,4,8,8,4
N0.HOG0000549,Male + Unbiased,2,3,3,2
N0.HOG0000553,Male + Unbiased,3,10,9,3
N0.HOG0000555,Male + Unbiased,3,4,4,3
N0.HOG0000557,All unbiased,2,2,2,2
N0.HOG0000558,Male + Female,2,3,3,2
N0.HOG0000559,All male-biased,4,4,4,4
N0.HOG0000560,All unbiased,2,2,2,2
N0.HOG0000563,Male + Unbiased,10,23,22,10
N0.HOG0000565,Female + Unbiased,6,6,6,6
N0.HOG0000566,All male-biased,4,7,6,4
N0.HOG0000569,All male-biased,2,3,3,2
N0.HOG0000576,All male-biased,3,3,3,3
N0.HOG0000577,All unbiased,2,4,4,2
N0.HOG0000578,All three,4,13,9,4
N0.HOG0000579,All unbiased,2,2,2,2
N0.HOG0000581,All three,3,3,3,3
N0.HOG0000584,Female + Unbiased,6,7,7,6
N0.HOG0000585,All unbiased,3,4,4,3
N0.HOG0000589,All unbiased,3,10,10,3
N0.HOG0000590,All unbiased,2,3,3,2
N0.HOG0000591,Male + Unbiased,5,5,5,5
N0.HOG0000593,All male-biased,3,5,5,3
N0.HOG0000594,All unbiased,2,9,5,2
N0.HOG0000595,Male + Unbiased,3,3,3,3
N0.HOG0000596,Male + Unbiased,7,7,7,7
N0.HOG0000606,Male + Unbiased,6,11,9,6
N0.HOG0000607,All unbiased,2,2,2,2
N0.HOG0000612,All male-biased,3,4,4,3
N0.HOG0000614,Male + Unbiased,2,2,2,2
N0.HOG0000616,Male + Unbiased,3,10,9,3
N0.HOG0000624,All unbiased,2,2,2,2
N0.HOG0000626,All male-biased,2,2,2,2
N0.HOG0000627,Male + Unbiased,6,6,6,6
N0.HOG0000628,Male + Unbiased,3,3,3,3
N0.HOG0000629,Female + Unbiased,3,4,4,3
N0.HOG0000630,All three,4,4,4,4
N0.HOG0000633,Male + Unbiased,4,8,7,4
N0.HOG0000636,Male + Unbiased,4,41,31,4
N0.HOG0000640,Male + Unbiased,8,8,8,8
N0.HOG0000644,Male + Unbiased,2,2,2,2
N0.HOG0000645,Male + Unbiased,3,3,3,3
N0.HOG0000646,All three,3,10,4,3
N0.HOG0000648,Male + Unbiased,4,4,4,4
N0.HOG0000652,All unbiased,4,4,4,4
N0.HOG0000653,Male + Unbiased,3,3,3,3
N0.HOG0000655,Male + Unbiased,3,3,3,3
N0.HOG0000657,All unbiased,2,4,4,2
N0.HOG0000661,Male + Unbiased,3,5,4,3
N0.HOG0000663,Male + Unbiased,2,2,2,2
N0.HOG0000669,Female + Unbiased,3,3,3,3
N0.HOG0000672,Male + Unbiased,3,29,26,3
N0.HOG0000673,All male-biased,2,2,2,2
N0.HOG0000675,All male-biased,5,18,14,5
N0.HOG0000676,Male + Unbiased,14,43,37,14
N0.HOG0000680,Male + Unbiased,5,10,5,5
N0.HOG0000682,All unbiased,2,2,2,2
N0.HOG0000684,Male + Unbiased,4,5,5,4
N0.HOG0000685,All male-biased,2,2,2,2
N0.HOG0000688,Male + Unbiased,3,4,4,3
N0.HOG0000690,All male-biased,2,2,2,2
N0.HOG0000693,All male-biased,2,2,2,2
N0.HOG0000695,All unbiased,7,16,12,7
N0.HOG0000696,Female + Unbiased,3,7,7,3
N0.HOG0000705,All unbiased,2,2,2,2
N0.HOG0000710,All unbiased,2,2,2,2
N0.HOG0000712,All unbiased,2,2,2,2
N0.HOG0000713,All male-biased,4,6,6,4
N0.HOG0000716,Male + Unbiased,3,3,3,3
N0.HOG0000717,Male + Unbiased,4,4,4,4
N0.HOG0000718,All unbiased,3,3,3,3
N0.HOG0000719,Male + Unbiased,3,3,3,3
N0.HOG0000725,All unbiased,3,3,3,3
N0.HOG0000729,Male + Unbiased,3,3,3,3
N0.HOG0000730,All male-biased,2,2,2,2
N0.HOG0000731,All unbiased,5,5,5,5
N0.HOG0000738,All three,4,5,5,4
N0.HOG0000740,All male-biased,2,3,3,2
N0.HOG0000747,Male + Unbiased,4,4,4,4
N0.HOG0000756,All male-biased,2,2,2,2
N0.HOG0000761,Male + Unbiased,5,5,5,5
N0.HOG0000763,All unbiased,2,2,2,2
N0.HOG0000764,All unbiased,2,2,2,2
N0.HOG0000765,Male + Female,6,6,6,6
N0.HOG0000766,Male + Unbiased,3,13,12,3
N0.HOG0000768,All unbiased,2,2,2,2
N0.HOG0000773,All three,8,25,21,8
N0.HOG0000774,Female + Unbiased,5,9,9,5
N0.HOG0000779,Male + Unbiased,9,32,24,9
N0.HOG0000782,All unbiased,2,2,2,2
N0.HOG0000784,All male-biased,2,2,2,2
N0.HOG0000786,All male-biased,2,5,5,2
N0.HOG0000792,All unbiased,2,2,2,2
N0.HOG0000796,Male + Female,2,9,9,2
N0.HOG0000800,Female + Unbiased,2,2,2,2
N0.HOG0000801,Male + Female,2,2,2,2
N0.HOG0000805,Male + Unbiased,3,4,4,3
N0.HOG0000806,Male + Unbiased,2,2,2,2
N0.HOG0000807,Male + Unbiased,6,32,29,6
N0.HOG0000812,Male + Unbiased,4,4,4,4
N0.HOG0000813,Male + Unbiased,2,4,4,2
N0.HOG0000814,All unbiased,4,4,4,4
N0.HOG0000818,All male-biased,3,25,3,3
