HOG,category,n_expressed_dups,hog_size_genome,hog_size_mapped,hog_size_expressed
N0.HOG0003035,All unbiased,2,2,2,2
N0.HOG0003036,All unbiased,2,2,2,2
N0.HOG0003042,Male + Unbiased,2,2,2,2
N0.HOG0003044,Male + Unbiased,2,2,2,2
N0.HOG0003046,All unbiased,2,2,2,2
N0.HOG0003047,All unbiased,2,2,2,2
N0.HOG0003048,All male-biased,2,2,2,2
N0.HOG0003049,All female-biased,2,3,3,2
N0.HOG0003051,Male + Unbiased,2,2,2,2
N0.HOG0003055,Male + Unbiased,2,2,2,2
N0.HOG0003056,All female-biased,2,2,2,2
N0.HOG0003058,Male + Unbiased,4,5,4,4
N0.HOG0003059,All unbiased,2,2,2,2
N0.HOG0003060,All female-biased,2,2,2,2
N0.HOG0003061,All male-biased,2,2,2,2
N0.HOG0003062,All male-biased,2,2,2,2
N0.HOG0003063,All unbiased,2,2,2,2
N0.HOG0003065,Male + Unbiased,4,4,4,4
N0.HOG0003066,All unbiased,2,2,2,2
N0.HOG0003072,All unbiased,2,2,2,2
N0.HOG0003073,All male-biased,4,4,4,4
N0.HOG0003074,All unbiased,3,3,3,3
N0.HOG0003075,All male-biased,3,3,3,3
N0.HOG0003076,All unbiased,3,3,3,3
N0.HOG0003077,Male + Unbiased,2,3,3,2
N0.HOG0003078,Male + Unbiased,2,2,2,2
N0.HOG0003079,All unbiased,4,4,4,4
N0.HOG0003085,All unbiased,2,2,2,2
N0.HOG0003088,All unbiased,3,3,3,3
N0.HOG0003092,All unbiased,2,2,2,2
N0.HOG0003094,All unbiased,2,2,2,2
N0.HOG0003095,All unbiased,2,2,2,2
N0.HOG0003097,All unbiased,2,2,2,2
N0.HOG0003098,All unbiased,2,3,3,2
N0.HOG0003101,All unbiased,4,4,4,4
N0.HOG0003107,Male + Unbiased,2,2,2,2
N0.HOG0003111,All male-biased,2,2,2,2
N0.HOG0003120,All unbiased,2,4,3,2
N0.HOG0003122,Male + Unbiased,3,18,16,3
N0.HOG0003123,All male-biased,4,19,15,4
N0.HOG0003142,All male-biased,2,2,2,2
N0.HOG0003147,All unbiased,2,2,2,2
N0.HOG0003152,All unbiased,2,2,2,2
N0.HOG0003154,All unbiased,2,2,2,2
N0.HOG0003165,All unbiased,2,2,2,2
N0.HOG0003167,All unbiased,2,2,2,2
N0.HOG0003169,All unbiased,2,2,2,2
N0.HOG0003176,All unbiased,2,2,2,2
N0.HOG0003186,All unbiased,2,2,2,2
N0.HOG0003198,All unbiased,2,2,2,2
N0.HOG0003205,Male + Unbiased,2,2,2,2
N0.HOG0003211,All female-biased,2,2,2,2
N0.HOG0003227,All male-biased,2,2,2,2
N0.HOG0003229,All female-biased,2,2,2,2
N0.HOG0003235,All unbiased,2,2,2,2
N0.HOG0003241,All male-biased,2,2,2,2
N0.HOG0003245,All unbiased,2,2,2,2
N0.HOG0003249,All female-biased,2,2,2,2
N0.HOG0003250,All unbiased,2,2,2,2
N0.HOG0003251,Male + Unbiased,2,2,2,2
N0.HOG0003257,All unbiased,2,2,2,2
N0.HOG0003258,All unbiased,2,2,2,2
N0.HOG0003261,All female-biased,2,2,2,2
N0.HOG0003263,All unbiased,2,16,10,2
N0.HOG0003268,All unbiased,3,3,3,3
N0.HOG0003269,All male-biased,2,2,2,2
N0.HOG0003276,All male-biased,4,4,4,4
N0.HOG0003282,All female-biased,4,4,4,4
N0.HOG0003283,All unbiased,2,2,2,2
N0.HOG0003284,All unbiased,2,2,2,2
N0.HOG0003287,All unbiased,2,2,2,2
N0.HOG0003291,All male-biased,2,2,2,2
N0.HOG0003292,All male-biased,2,2,2,2
N0.HOG0003294,All unbiased,2,2,2,2
N0.HOG0003295,All unbiased,2,2,2,2
N0.HOG0003299,All unbiased,2,2,2,2
N0.HOG0003301,All unbiased,2,2,2,2
N0.HOG0003303,All male-biased,2,2,2,2
N0.HOG0003304,All unbiased,2,2,2,2
N0.HOG0003307,All unbiased,3,3,3,3
N0.HOG0003316,All male-biased,2,2,2,2
N0.HOG0003317,All unbiased,2,2,2,2
N0.HOG0003318,All unbiased,2,2,2,2
N0.HOG0003319,All unbiased,2,2,2,2
N0.HOG0003325,All unbiased,2,2,2,2
N0.HOG0003326,All male-biased,2,2,2,2
N0.HOG0003327,All unbiased,2,2,2,2
N0.HOG0003338,All unbiased,2,2,2,2
N0.HOG0003339,All unbiased,4,4,4,4
N0.HOG0003341,All unbiased,2,2,2,2
N0.HOG0003343,All male-biased,3,3,3,3
N0.HOG0003351,All male-biased,3,4,4,3
N0.HOG0003362,All unbiased,2,2,2,2
N0.HOG0003366,All male-biased,2,2,2,2
N0.HOG0003381,All male-biased,2,2,2,2
N0.HOG0003382,All unbiased,2,2,2,2
N0.HOG0003385,All unbiased,2,2,2,2
N0.HOG0003386,All female-biased,2,2,2,2
N0.HOG0003387,All male-biased,2,2,2,2
N0.HOG0003389,All female-biased,2,2,2,2
N0.HOG0003390,All male-biased,3,3,3,3
N0.HOG0003391,All unbiased,2,2,2,2
N0.HOG0003401,All unbiased,3,3,3,3
N0.HOG0003402,All unbiased,2,2,2,2
N0.HOG0003406,All unbiased,2,2,2,2
N0.HOG0003414,All unbiased,2,2,2,2
N0.HOG0003417,All unbiased,2,2,2,2
N0.HOG0003425,All male-biased,2,2,2,2
N0.HOG0003428,All unbiased,2,2,2,2
N0.HOG0003433,All male-biased,2,2,2,2
N0.HOG0003436,All unbiased,2,2,2,2
N0.HOG0003437,All unbiased,2,2,2,2
N0.HOG0003445,Male + Unbiased,2,2,2,2
N0.HOG0003460,Male + Unbiased,3,3,3,3
N0.HOG0003464,All male-biased,2,3,3,2
N0.HOG0003466,All unbiased,2,2,2,2
N0.HOG0003467,All unbiased,3,3,3,3
N0.HOG0003472,Male + Unbiased,3,3,3,3
N0.HOG0003473,All unbiased,2,2,2,2
N0.HOG0003474,All unbiased,2,2,2,2
N0.HOG0003476,All unbiased,4,4,4,4
N0.HOG0003477,All unbiased,2,2,2,2
N0.HOG0003478,All male-biased,2,2,2,2
N0.HOG0003482,All female-biased,3,3,3,3
N0.HOG0003486,All unbiased,2,2,2,2
N0.HOG0003489,All unbiased,2,2,2,2
N0.HOG0003507,All unbiased,3,3,3,3
N0.HOG0003508,All unbiased,3,3,3,3
N0.HOG0003510,All female-biased,2,2,2,2
N0.HOG0003511,All unbiased,2,2,2,2
N0.HOG0003514,All unbiased,2,2,2,2
N0.HOG0003523,All male-biased,2,2,2,2
N0.HOG0003533,All unbiased,2,2,2,2
N0.HOG0003544,All unbiased,2,2,2,2
N0.HOG0003550,All female-biased,2,2,2,2
N0.HOG0003556,All male-biased,2,2,2,2
N0.HOG0003558,Female + Unbiased,2,2,2,2
N0.HOG0003560,Male + Female,2,2,2,2
N0.HOG0003562,All unbiased,2,2,2,2
N0.HOG0003563,All unbiased,4,4,4,4
N0.HOG0003566,All unbiased,3,3,3,3
N0.HOG0003567,All unbiased,2,2,2,2
N0.HOG0003577,All unbiased,2,2,2,2
N0.HOG0003579,All female-biased,3,3,3,3
N0.HOG0003582,Male + Unbiased,4,4,4,4
N0.HOG0003585,All male-biased,3,3,3,3
N0.HOG0003590,All unbiased,2,2,2,2
N0.HOG0003591,Male + Unbiased,2,2,2,2
N0.HOG0003592,All unbiased,2,2,2,2
N0.HOG0003593,All unbiased,2,2,2,2
N0.HOG0003594,All male-biased,2,2,2,2
N0.HOG0003595,All unbiased,2,2,2,2
N0.HOG0003596,All unbiased,2,2,2,2
N0.HOG0003597,Female + Unbiased,3,3,3,3
N0.HOG0003599,Female + Unbiased,2,2,2,2
N0.HOG0003600,All unbiased,2,2,2,2
N0.HOG0003604,All unbiased,2,2,2,2
N0.HOG0003606,All male-biased,2,2,2,2
N0.HOG0003609,All unbiased,2,2,2,2
N0.HOG0003614,Male + Unbiased,3,3,3,3
N0.HOG0003615,All unbiased,2,2,2,2
N0.HOG0003617,Female + Unbiased,2,2,2,2
N0.HOG0003618,All unbiased,2,2,2,2
N0.HOG0003619,All female-biased,2,2,2,2
N0.HOG0003621,All unbiased,2,2,2,2
N0.HOG0003631,All unbiased,2,2,2,2
N0.HOG0003633,All unbiased,2,2,2,2
N0.HOG0003636,All unbiased,3,3,3,3
N0.HOG0003640,Female + Unbiased,2,2,2,2
N0.HOG0003641,All male-biased,2,2,2,2
N0.HOG0003643,All female-biased,3,3,3,3
N0.HOG0003647,All unbiased,2,2,2,2
N0.HOG0003649,All unbiased,2,2,2,2
N0.HOG0003655,All male-biased,5,5,5,5
N0.HOG0003657,All unbiased,2,2,2,2
N0.HOG0003662,Male + Unbiased,2,7,5,2
N0.HOG0003670,Male + Unbiased,4,17,15,4
N0.HOG0003672,Male + Unbiased,5,18,13,5
N0.HOG0003693,All unbiased,2,2,2,2
N0.HOG0003696,All male-biased,3,3,3,3
N0.HOG0003720,Male + Unbiased,2,2,2,2
N0.HOG0003739,All unbiased,2,2,2,2
N0.HOG0003743,All female-biased,2,2,2,2
N0.HOG0003752,Male + Unbiased,4,9,9,4
N0.HOG0003753,All unbiased,2,2,2,2
N0.HOG0003757,All male-biased,3,3,3,3
N0.HOG0003766,All unbiased,2,2,2,2
N0.HOG0003778,All unbiased,2,2,2,2
N0.HOG0003790,All unbiased,2,3,2,2
N0.HOG0003794,All unbiased,2,2,2,2
N0.HOG0003801,All unbiased,2,2,2,2
N0.HOG0003806,Male + Unbiased,2,2,2,2
N0.HOG0003817,All unbiased,3,3,3,3
N0.HOG0003837,All unbiased,2,2,2,2
N0.HOG0003840,All unbiased,3,3,3,3
N0.HOG0003841,All male-biased,2,2,2,2
N0.HOG0003842,All unbiased,2,2,2,2
N0.HOG0003844,All unbiased,2,2,2,2
N0.HOG0003849,All male-biased,2,2,2,2
N0.HOG0003861,All male-biased,2,2,2,2
N0.HOG0003869,All unbiased,2,2,2,2
N0.HOG0003875,All unbiased,2,2,2,2
N0.HOG0003876,All female-biased,4,4,4,4
N0.HOG0003878,Male + Unbiased,5,14,12,5
N0.HOG0003885,All unbiased,3,3,3,3
N0.HOG0003894,All unbiased,2,2,2,2
N0.HOG0003896,All unbiased,2,2,2,2
N0.HOG0003897,All unbiased,3,3,3,3
N0.HOG0003898,All female-biased,3,3,3,3
N0.HOG0003899,All unbiased,3,3,3,3
N0.HOG0003902,Male + Unbiased,2,2,2,2
N0.HOG0003916,All unbiased,2,2,2,2
N0.HOG0003921,All unbiased,2,2,2,2
N0.HOG0003929,All female-biased,2,2,2,2
N0.HOG0003937,All unbiased,2,2,2,2
N0.HOG0003938,All male-biased,2,2,2,2
N0.HOG0003939,All unbiased,2,3,2,2
N0.HOG0003942,All unbiased,2,2,2,2
N0.HOG0003943,All unbiased,2,2,2,2
N0.HOG0003945,All unbiased,2,2,2,2
N0.HOG0003946,All male-biased,2,2,2,2
N0.HOG0003947,All unbiased,2,2,2,2
N0.HOG0003952,All unbiased,2,2,2,2
N0.HOG0003955,All male-biased,2,2,2,2
N0.HOG0003964,All male-biased,2,2,2,2
N0.HOG0003965,All unbiased,2,2,2,2
N0.HOG0003967,All unbiased,2,3,2,2
N0.HOG0003968,All unbiased,2,2,2,2
N0.HOG0003969,All unbiased,2,2,2,2
N0.HOG0003970,Female + Unbiased,2,2,2,2
N0.HOG0003978,All male-biased,2,2,2,2
N0.HOG0003979,All unbiased,2,2,2,2
N0.HOG0003983,All unbiased,2,2,2,2
N0.HOG0003984,All unbiased,2,2,2,2
N0.HOG0003986,All unbiased,3,3,3,3
N0.HOG0003987,All unbiased,2,2,2,2
N0.HOG0003988,All female-biased,2,2,2,2
N0.HOG0003989,All unbiased,2,2,2,2
N0.HOG0003990,All unbiased,2,2,2,2
N0.HOG0003992,All unbiased,3,3,3,3
N0.HOG0003994,All male-biased,2,2,2,2
N0.HOG0003995,All unbiased,2,2,2,2
N0.HOG0004000,All unbiased,2,2,2,2
N0.HOG0004008,All unbiased,2,2,2,2
N0.HOG0004010,All female-biased,2,2,2,2
N0.HOG0004014,All unbiased,2,2,2,2
N0.HOG0004015,All unbiased,2,2,2,2
N0.HOG0004016,All female-biased,2,2,2,2
N0.HOG0004019,All male-biased,2,2,2,2
N0.HOG0004028,Female + Unbiased,2,2,2,2
N0.HOG0004029,All male-biased,2,2,2,2
N0.HOG0004030,All unbiased,2,2,2,2
N0.HOG0004031,All female-biased,2,2,2,2
N0.HOG0004039,Male + Unbiased,2,3,3,2
N0.HOG0004048,Male + Unbiased,2,2,2,2
N0.HOG0004065,All male-biased,2,11,6,2
N0.HOG0004067,All female-biased,2,2,2,2
N0.HOG0004071,All unbiased,2,2,2,2
N0.HOG0004073,All male-biased,2,2,2,2
N0.HOG0004079,All female-biased,2,2,2,2
N0.HOG0004080,Female + Unbiased,2,2,2,2
N0.HOG0004081,All male-biased,2,2,2,2
N0.HOG0004089,Male + Unbiased,2,2,2,2
N0.HOG0004093,All unbiased,2,2,2,2
N0.HOG0004094,All female-biased,2,2,2,2
N0.HOG0004099,All unbiased,2,2,2,2
N0.HOG0004100,All unbiased,2,2,2,2
N0.HOG0004101,All unbiased,2,2,2,2
N0.HOG0004104,All female-biased,2,2,2,2
N0.HOG0004108,Male + Unbiased,2,2,2,2
N0.HOG0004112,All unbiased,2,2,2,2
N0.HOG0004113,All unbiased,2,2,2,2
N0.HOG0004115,All unbiased,2,2,2,2
N0.HOG0004116,All unbiased,2,2,2,2
N0.HOG0004120,All unbiased,2,2,2,2
N0.HOG0004128,All unbiased,2,2,2,2
N0.HOG0004140,All male-biased,2,2,2,2
N0.HOG0004141,All male-biased,2,2,2,2
N0.HOG0004146,All male-biased,2,2,2,2
N0.HOG0004151,All unbiased,2,2,2,2
N0.HOG0004153,All female-biased,2,2,2,2
N0.HOG0004160,All male-biased,2,5,5,2
N0.HOG0004162,All male-biased,2,2,2,2
N0.HOG0004173,Male + Unbiased,2,2,2,2
N0.HOG0004177,All unbiased,2,2,2,2
N0.HOG0004183,Female + Unbiased,2,2,2,2
N0.HOG0004184,All unbiased,2,2,2,2
N0.HOG0004185,All female-biased,2,2,2,2
N0.HOG0004186,Male + Unbiased,5,5,5,5
N0.HOG0004187,All male-biased,3,3,3,3
N0.HOG0004190,All unbiased,2,2,2,2
N0.HOG0004196,All female-biased,2,2,2,2
N0.HOG0004198,All unbiased,2,2,2,2
N0.HOG0004200,Male + Unbiased,3,4,4,3
N0.HOG0004201,All male-biased,2,2,2,2
N0.HOG0004203,All unbiased,2,2,2,2
N0.HOG0004209,All unbiased,2,2,2,2
N0.HOG0004210,All female-biased,2,2,2,2
N0.HOG0004211,All unbiased,2,2,2,2
N0.HOG0004212,All unbiased,2,2,2,2
N0.HOG0004214,Male + Unbiased,8,10,10,8
N0.HOG0004215,Male + Unbiased,2,3,3,2
N0.HOG0004219,All unbiased,2,2,2,2
N0.HOG0004223,All unbiased,2,2,2,2
N0.HOG0004224,All unbiased,2,2,2,2
N0.HOG0004226,Male + Unbiased,2,3,2,2
N0.HOG0004227,All female-biased,2,2,2,2
N0.HOG0004241,All unbiased,2,2,2,2
N0.HOG0004242,All male-biased,2,2,2,2
N0.HOG0004245,All unbiased,2,2,2,2
N0.HOG0004250,All female-biased,2,2,2,2
N0.HOG0004262,All male-biased,2,2,2,2
N0.HOG0004264,All unbiased,3,3,3,3
N0.HOG0004267,All male-biased,2,2,2,2
N0.HOG0004272,All unbiased,2,2,2,2
N0.HOG0004279,All unbiased,2,2,2,2
N0.HOG0004282,All unbiased,2,2,2,2
N0.HOG0004284,All unbiased,2,2,2,2
N0.HOG0004287,All unbiased,2,2,2,2
N0.HOG0004290,All unbiased,2,2,2,2
N0.HOG0004291,Female + Unbiased,2,2,2,2
N0.HOG0004292,All male-biased,2,2,2,2
N0.HOG0004296,All female-biased,2,2,2,2
N0.HOG0004298,All unbiased,2,2,2,2
N0.HOG0004308,All unbiased,2,2,2,2
N0.HOG0004314,All unbiased,2,2,2,2
N0.HOG0004315,Female + Unbiased,2,2,2,2
N0.HOG0004316,All unbiased,3,3,3,3
N0.HOG0004321,Female + Unbiased,2,2,2,2
N0.HOG0004323,All male-biased,2,2,2,2
N0.HOG0004326,All female-biased,2,2,2,2
N0.HOG0004327,All unbiased,5,5,5,5
N0.HOG0004328,All female-biased,2,2,2,2
N0.HOG0004329,All male-biased,2,2,2,2
N0.HOG0004330,Male + Unbiased,2,2,2,2
N0.HOG0004334,All male-biased,2,2,2,2
N0.HOG0004339,All unbiased,2,2,2,2
N0.HOG0004340,All female-biased,3,3,3,3
N0.HOG0004342,Male + Unbiased,2,2,2,2
N0.HOG0004343,All unbiased,2,2,2,2
N0.HOG0004344,Female + Unbiased,2,2,2,2
N0.HOG0004347,All female-biased,2,2,2,2
N0.HOG0004348,All male-biased,2,2,2,2
N0.HOG0004349,All unbiased,2,2,2,2
N0.HOG0004352,Male + Unbiased,5,5,5,5
N0.HOG0004353,All unbiased,2,2,2,2
N0.HOG0004354,All unbiased,2,2,2,2
N0.HOG0004355,All unbiased,4,4,4,4
N0.HOG0004362,All unbiased,2,2,2,2
N0.HOG0004367,All unbiased,2,2,2,2
N0.HOG0004371,All unbiased,3,3,3,3
N0.HOG0004374,Male + Unbiased,2,2,2,2
N0.HOG0004375,All male-biased,2,2,2,2
N0.HOG0004376,All unbiased,2,2,2,2
N0.HOG0004383,All unbiased,2,2,2,2
N0.HOG0004386,All unbiased,2,2,2,2
N0.HOG0004387,All unbiased,2,2,2,2
N0.HOG0004388,All unbiased,2,2,2,2
N0.HOG0004394,All unbiased,2,2,2,2
N0.HOG0004396,All unbiased,2,2,2,2
N0.HOG0004397,All unbiased,2,2,2,2
N0.HOG0004398,All unbiased,2,2,2,2
N0.HOG0004407,All unbiased,2,2,2,2
N0.HOG0004410,All unbiased,2,2,2,2
N0.HOG0004414,All male-biased,2,2,2,2
N0.HOG0004417,All unbiased,2,11,2,2
N0.HOG0004419,All unbiased,3,6,6,3
N0.HOG0004421,All unbiased,5,16,14,5
N0.HOG0004422,Male + Unbiased,9,16,16,9
N0.HOG0004426,All male-biased,2,14,11,2
N0.HOG0004427,Male + Unbiased,5,17,15,5
N0.HOG0004470,All female-biased,2,2,2,2
N0.HOG0004497,Female + Unbiased,2,2,2,2
N0.HOG0004498,All unbiased,2,3,2,2
N0.HOG0004502,All unbiased,2,2,2,2
N0.HOG0004516,All female-biased,2,2,2,2
N0.HOG0004530,All unbiased,2,3,3,2
N0.HOG0004539,Female + Unbiased,3,3,3,3
N0.HOG0004540,All unbiased,2,2,2,2
N0.HOG0004541,All unbiased,2,2,2,2
N0.HOG0004547,All unbiased,2,2,2,2
N0.HOG0004553,All unbiased,2,2,2,2
N0.HOG0004555,All unbiased,2,2,2,2
N0.HOG0004567,All unbiased,2,2,2,2
N0.HOG0004579,All female-biased,2,2,2,2
N0.HOG0004581,Male + Unbiased,2,2,2,2
N0.HOG0004582,All unbiased,2,2,2,2
N0.HOG0004586,All unbiased,2,2,2,2
N0.HOG0004590,All unbiased,2,2,2,2
N0.HOG0004594,All male-biased,2,2,2,2
N0.HOG0004595,Female + Unbiased,2,2,2,2
N0.HOG0004603,Male + Unbiased,3,3,3,3
N0.HOG0004617,Female + Unbiased,2,2,2,2
N0.HOG0004627,All male-biased,2,2,2,2
N0.HOG0004644,Male + Unbiased,3,3,3,3
N0.HOG0004658,All unbiased,2,2,2,2
N0.HOG0004664,All unbiased,2,2,2,2
N0.HOG0004667,All unbiased,2,2,2,2
N0.HOG0004682,All male-biased,2,2,2,2
N0.HOG0004685,All unbiased,2,2,2,2
N0.HOG0004695,Female + Unbiased,3,4,3,3
N0.HOG0004702,All male-biased,2,2,2,2
N0.HOG0004710,All unbiased,2,2,2,2
N0.HOG0004711,All female-biased,2,2,2,2
N0.HOG0004718,All unbiased,2,2,2,2
N0.HOG0004719,All unbiased,2,2,2,2
N0.HOG0004723,All unbiased,3,3,3,3
N0.HOG0004724,Male + Unbiased,2,2,2,2
N0.HOG0004727,All female-biased,2,2,2,2
N0.HOG0004729,Male + Unbiased,5,6,6,5
N0.HOG0004730,All male-biased,2,2,2,2
N0.HOG0004731,All unbiased,2,2,2,2
N0.HOG0004732,All female-biased,2,2,2,2
N0.HOG0004733,All unbiased,2,2,2,2
N0.HOG0004734,All unbiased,2,2,2,2
N0.HOG0004735,All unbiased,3,3,3,3
N0.HOG0004737,All female-biased,2,2,2,2
N0.HOG0004738,All unbiased,2,2,2,2
N0.HOG0004743,All unbiased,2,2,2,2
N0.HOG0004744,All female-biased,4,4,4,4
N0.HOG0004746,All unbiased,2,3,2,2
N0.HOG0004752,All male-biased,2,2,2,2
N0.HOG0004770,All unbiased,2,2,2,2
N0.HOG0004774,All male-biased,2,2,2,2
N0.HOG0004777,All male-biased,2,2,2,2
N0.HOG0004782,All male-biased,2,2,2,2
N0.HOG0004798,Male + Unbiased,2,2,2,2
N0.HOG0004800,Male + Unbiased,3,10,9,3
N0.HOG0004804,All unbiased,2,2,2,2
N0.HOG0004805,All unbiased,2,2,2,2
N0.HOG0004818,All unbiased,2,2,2,2
N0.HOG0004828,All unbiased,2,2,2,2
N0.HOG0004846,All unbiased,2,3,3,2
N0.HOG0004847,All unbiased,2,2,2,2
N0.HOG0004848,All unbiased,2,2,2,2
N0.HOG0004855,All unbiased,2,2,2,2
N0.HOG0004856,All unbiased,2,2,2,2
N0.HOG0004859,Male + Unbiased,2,2,2,2
N0.HOG0004867,All unbiased,2,2,2,2
N0.HOG0004868,Female + Unbiased,2,2,2,2
N0.HOG0004869,All male-biased,2,2,2,2
N0.HOG0004870,All female-biased,2,2,2,2
N0.HOG0004871,All unbiased,2,2,2,2
N0.HOG0004872,All unbiased,2,2,2,2
N0.HOG0004873,All unbiased,2,2,2,2
N0.HOG0004874,Male + Unbiased,2,2,2,2
N0.HOG0004875,Male + Unbiased,2,2,2,2
N0.HOG0004893,All unbiased,3,3,3,3
N0.HOG0004900,All male-biased,2,2,2,2
N0.HOG0004908,All unbiased,2,2,2,2
N0.HOG0004914,All unbiased,2,2,2,2
N0.HOG0004915,All unbiased,2,2,2,2
N0.HOG0004923,All female-biased,2,2,2,2
N0.HOG0004924,All unbiased,2,2,2,2
N0.HOG0004929,All unbiased,2,2,2,2
N0.HOG0004931,All male-biased,2,2,2,2
N0.HOG0004932,All female-biased,2,2,2,2
N0.HOG0004939,All unbiased,2,2,2,2
N0.HOG0004940,All male-biased,2,2,2,2
N0.HOG0004941,All unbiased,2,2,2,2
N0.HOG0004972,All unbiased,3,3,3,3
N0.HOG0004985,All unbiased,2,2,2,2
N0.HOG0004986,All female-biased,2,2,2,2
N0.HOG0004990,All unbiased,2,2,2,2
N0.HOG0004995,All male-biased,2,2,2,2
N0.HOG0004996,All unbiased,2,2,2,2
N0.HOG0005007,All male-biased,2,2,2,2
N0.HOG0005008,All unbiased,2,2,2,2
N0.HOG0005009,All unbiased,2,2,2,2
N0.HOG0005024,All unbiased,2,2,2,2
N0.HOG0005026,Male + Unbiased,2,2,2,2
N0.HOG0005036,Female + Unbiased,3,3,3,3
N0.HOG0005037,All unbiased,2,2,2,2
N0.HOG0005038,All unbiased,3,3,3,3
N0.HOG0005039,All unbiased,3,3,3,3
N0.HOG0005042,All male-biased,2,2,2,2
N0.HOG0005046,All unbiased,2,2,2,2
N0.HOG0005047,All unbiased,2,2,2,2
N0.HOG0005058,Female + Unbiased,3,3,3,3
N0.HOG0005074,Male + Unbiased,4,4,4,4
N0.HOG0005091,All unbiased,2,2,2,2
N0.HOG0005096,All female-biased,2,2,2,2
N0.HOG0005100,All unbiased,2,2,2,2
N0.HOG0005106,All unbiased,2,2,2,2
N0.HOG0005107,All unbiased,2,2,2,2
N0.HOG0005108,All unbiased,2,2,2,2
N0.HOG0005110,All unbiased,2,2,2,2
N0.HOG0005111,All unbiased,2,2,2,2
N0.HOG0005113,All unbiased,2,2,2,2
N0.HOG0005114,All unbiased,2,2,2,2
N0.HOG0005119,Male + Unbiased,2,2,2,2
N0.HOG0005130,All male-biased,2,2,2,2
N0.HOG0005139,All unbiased,2,2,2,2
N0.HOG0005140,All unbiased,2,2,2,2
N0.HOG0005141,All unbiased,2,2,2,2
N0.HOG0005145,All unbiased,2,2,2,2
N0.HOG0005151,All male-biased,2,2,2,2
N0.HOG0005168,All unbiased,3,3,3,3
N0.HOG0005169,All female-biased,2,2,2,2
N0.HOG0005170,All unbiased,2,2,2,2
N0.HOG0005171,All female-biased,2,2,2,2
N0.HOG0005172,All unbiased,2,2,2,2
N0.HOG0005173,All male-biased,3,3,3,3
N0.HOG0005177,All unbiased,2,2,2,2
N0.HOG0005186,All unbiased,2,2,2,2
N0.HOG0005187,Male + Unbiased,2,2,2,2
N0.HOG0005192,All unbiased,2,2,2,2
N0.HOG0005193,All unbiased,2,2,2,2
N0.HOG0005194,All male-biased,2,2,2,2
N0.HOG0005195,Female + Unbiased,2,2,2,2
N0.HOG0005197,All male-biased,2,2,2,2
N0.HOG0005205,All male-biased,5,5,5,5
N0.HOG0005212,Female + Unbiased,2,2,2,2
N0.HOG0005213,All unbiased,3,3,3,3
N0.HOG0005218,All unbiased,2,2,2,2
N0.HOG0005222,Female + Unbiased,2,2,2,2
N0.HOG0005224,All unbiased,2,2,2,2
N0.HOG0005242,All male-biased,2,2,2,2
N0.HOG0005249,All unbiased,2,2,2,2
N0.HOG0005256,All unbiased,2,2,2,2
N0.HOG0005258,All unbiased,2,2,2,2
N0.HOG0005291,Male + Unbiased,2,2,2,2
N0.HOG0005296,All unbiased,2,2,2,2
N0.HOG0005302,All unbiased,2,2,2,2
N0.HOG0005306,All female-biased,2,2,2,2
N0.HOG0005307,All three,3,4,3,3
N0.HOG0005308,All female-biased,2,2,2,2
N0.HOG0005309,All unbiased,2,3,2,2
N0.HOG0005315,All female-biased,2,2,2,2
N0.HOG0005326,All unbiased,2,2,2,2
N0.HOG0005329,All unbiased,2,2,2,2
N0.HOG0005333,All unbiased,2,2,2,2
N0.HOG0005339,All unbiased,2,3,3,2
N0.HOG0005340,All unbiased,2,2,2,2
N0.HOG0005349,All unbiased,2,2,2,2
N0.HOG0005350,All unbiased,2,2,2,2
N0.HOG0005351,All unbiased,2,2,2,2
N0.HOG0005352,All unbiased,2,2,2,2
N0.HOG0005364,All unbiased,3,3,3,3
N0.HOG0005366,All unbiased,2,2,2,2
N0.HOG0005368,All unbiased,2,2,2,2
N0.HOG0005380,All female-biased,2,2,2,2
N0.HOG0005381,All unbiased,2,2,2,2
N0.HOG0005384,All unbiased,2,2,2,2
N0.HOG0005385,All unbiased,2,2,2,2
N0.HOG0005386,All female-biased,2,2,2,2
N0.HOG0005390,Female + Unbiased,2,2,2,2
N0.HOG0005391,All unbiased,2,2,2,2
N0.HOG0005392,All male-biased,3,3,3,3
N0.HOG0005393,All unbiased,3,3,3,3
N0.HOG0005394,All unbiased,2,2,2,2
N0.HOG0005395,All unbiased,2,2,2,2
N0.HOG0005396,All female-biased,2,2,2,2
N0.HOG0005397,All unbiased,2,2,2,2
N0.HOG0005398,Male + Unbiased,3,3,3,3
N0.HOG0005403,All unbiased,2,2,2,2
N0.HOG0005404,All unbiased,2,2,2,2
N0.HOG0005405,All unbiased,2,2,2,2
N0.HOG0005407,All unbiased,2,2,2,2
N0.HOG0005408,All male-biased,2,2,2,2
N0.HOG0005409,All unbiased,2,2,2,2
N0.HOG0005410,All unbiased,2,2,2,2
N0.HOG0005413,Male + Unbiased,4,4,4,4
N0.HOG0005415,All unbiased,2,2,2,2
N0.HOG0005416,All unbiased,2,2,2,2
N0.HOG0005417,All unbiased,2,2,2,2
N0.HOG0005418,All unbiased,3,3,3,3
N0.HOG0005421,All unbiased,3,3,3,3
N0.HOG0005425,Female + Unbiased,2,2,2,2
N0.HOG0005428,Female + Unbiased,2,2,2,2
